Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
J1,1,External Floppy,112-036-113R001_Centronics_36way,,,,tht,"Generic connector, double row, 02x18, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)"
J3,1,"3.5"" Floppy",PinHeader_2x17_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x17, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
J4,1,"5.25"" Floppy",5.25_ Floppy Edge Connector,,,,tht,"Generic connector, double row, 02x17, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
